ID,Nama Indomaret,Luas,Telpon,Situs,Kecamatan,Alamat,Keterangan,Y,X
1,Indomaret Trunojoyo,118.77 m²,(0341) 326706,http://www.indomaret.co.id/,Klojen,"Jl. Trunojoyo, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.97468,112.63689
2,Indomaret Patimura,75.25 m²,(021) 1500280,http://www.indomaret.com/,Klojen,"Jl. Patimura No Ia Rt/Rw 03, 02, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.97134,112.63335
3,Indomaret Arjuno,28.86 m2,(022) 1500580,http://www.indomaret.co.id/,Klojen,"Jl. Arjuno No.2, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.97948,112.62631
4,Indomaret W.R. Supratman,13.53 m²,816-500580,http://indomaret.com/,Klojen,"Jl. W.R. Supratman, Rampal Celaket, Malang, Kota Malang, Jawa Timur 65111","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.96596,112.63750
5,Indomaret,69.90 m²,816-500580,http://indomaret.co.id/,Lowokwaru,"Jl. Joyo Utomo, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.94284,112.60256
6,Indomaret Tidar,74.78 m²,(0341) 575760,http://indomaret.com/,Sukun,"Jl. Raya Tidar, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.96570,11260945
7,Indomaret Danau Sentani,165.55 m² ,816-500-580,http://indomaret.com/,Kedungkandang,"Jl. Terusan Danau Sentani, Madyopuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65138","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.97651,112.66480
8,Indomaret Sulfat Barat,157.79 m²,(0341) 400154,http://www.indomaret.co.id/,Blimbing,"Jl. Sulfat No.20, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.95748,112.64519
9,Indomaret Bantaran,86.51 m²,(0341) 405123,http://www.indomaret.co.id/,Blimbing,"Jl. Bantaran, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.94944,112.63880
10,Indomaret Selamet Riyadi,77.23 m²,(0341) 557331,http://indomaret.co.id/,Klojen,"JL. Brigadir Jenderal Slamet Riyadi, No. 188, Oro-Oro Ombo, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.96793,112.62929
11,Indomaret,83.64 m² ,(0341) 400880,http://indomaret.co.id/,Blimbing,"Jl. Laksda Adi Sucipto No.181, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65126","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.94380,112.64941
12,Indomaret,52.69 m²,(0341) 334823,http://www.indomaret.co.id/,Klojen,"Jl. Brigjend Slamet Riadi No.188, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65119","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.96190,112.62615
13,Indomaret Kalpataru,104.31 m²,(0341) 485355,http://www.indomaret.co.id/,Lowokwaru,"Jl. Kalpataru No.02, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.94776,112.62600
14,Indomaret,64.08 m²,(0341) 480244,http://www.indomaret.com/,Lowokwaru,"Jl. Cengkeh No.Kav. 1 - 3, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.94658,112.62440
15,Indomaret, 57.27 m²,(0341) 752000,http://www.indomaret.co.id/,Blimbing,"Jl. Ciliwung, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.95254,112.64137
16,Indomaret, 33.47 m²,0816-500-580,http://www.indomaret.co.id/,Kedungkandang,"Jl. Raya Sawojajar, Sawojajar, Malang, Kota Malang, Jawa Timur 65139","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.97494,112.65535
17,Indomaret Muharto,139.41 m²,(0341) 320007,http://www.indomaret.co.id/,Blimbing,"Jl. Muharto, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65136","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.98963,112.64112
18,Indomaret Kolonel Sugiono,244.52 m²,(021) 1500280,http://indomaret.co.id/,Kedungkandang,"Jl. Kolonel Sugiono No.117, Mergosono, Kec. Kedungkandang, Kota Malang, Jawa Timur 65134","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.99617,112.63232
19,Indomaret Dirgantara,74.58 m²,0888-0330-0657,https://indomaret.co.id/,Kedungkandang,"Jl. Dirgantara, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.97965,112.65351
20,Indomaret Puntodewo,194.74 m²,(0341)635191,http://indomaret.co.id/,Blimbing,"Jl. Puntodewo VIII No.01, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.98210,112.64748
21,Indomaret Hamid Rusdi Timur,136.42 m²,0816-5005-80,http://indomaret.co.id/,Blimbing,"Jl. Hamid Rusdi Tim. No.320, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-7.97380,112.64883
22,Indomaret Kyai Parseh,5.54 m2,(0341)643536,https://indomaret.co.id/,Kedungkandang,"Jl. Kyai Parseh Jaya, Bumiayu, Kec. Kedungkandang, Kota Malang, Jawa Timur 65135","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-8.00612,112.64240
23,Indomaret Kacuk,85.42 m²,(0341) 802760,https://indomaret.co.id/,Sukun ," Jl. S. Supriadi, Kebonsari, Kec. Sukun, Kota Malang, Jawa Timur 65119","Menjual Sembako , Makanan , Minuman , Rokok ,dll.  No-contact delivery , Delivery , In-Store Shopping , In-Store Pick-Up , Same-Day Delivery,ATM,Toilet",-8.02102,112.61885
